parsed_city,year,num_establishments_bls,num_establishments_business_loc
san francisco,1994,29181.0,11848
san francisco,1995,29483.0,12623
san francisco,1996,29890.0,13611
san francisco,1997,31157.0,14686
san francisco,1998,31350.0,15947
san francisco,1999,30945.0,17467
san francisco,2000,31112.0,19164
san francisco,2001,30342.0,20731
san francisco,2002,29333.0,22737
san francisco,2003,29030.0,24896
san francisco,2004,29327.0,27566
san francisco,2005,29543.0,30581
san francisco,2006,29919.0,34071
san francisco,2007,30297.0,39690
san francisco,2008,30424.0,43894
san francisco,2009,30324.0,48583
san francisco,2010,30447.0,54208
san francisco,2011,30745.0,61551
san francisco,2012,31615.0,69458
san francisco,2013,32259.0,77523
san francisco,2014,33082.0,85864
san francisco,2015,33906.0,89178
san francisco,2016,34218.0,90972
san francisco,2017,34339.0,92120
san francisco,2018,34523.0,93792
san francisco,1849,,1
san francisco,1850,,1
san francisco,1851,,1
san francisco,1852,,1
san francisco,1853,,1
san francisco,1854,,1
san francisco,1855,,1
san francisco,1856,,1
san francisco,1857,,1
san francisco,1858,,1
san francisco,1859,,1
san francisco,1860,,1
san francisco,1861,,1
san francisco,1862,,1
san francisco,1863,,1
san francisco,1864,,1
san francisco,1865,,1
san francisco,1866,,1
san francisco,1867,,1
san francisco,1868,,1
san francisco,1869,,1
san francisco,1870,,1
san francisco,1871,,1
san francisco,1872,,1
san francisco,1873,,1
san francisco,1874,,1
san francisco,1875,,1
san francisco,1876,,1
san francisco,1877,,1
san francisco,1878,,1
san francisco,1879,,2
san francisco,1880,,2
san francisco,1881,,2
san francisco,1882,,2
san francisco,1883,,2
san francisco,1884,,2
san francisco,1885,,2
san francisco,1886,,2
san francisco,1887,,2
san francisco,1888,,2
san francisco,1889,,2
san francisco,1890,,2
san francisco,1891,,4
san francisco,1892,,4
san francisco,1893,,4
san francisco,1894,,4
san francisco,1895,,6
san francisco,1896,,8
san francisco,1897,,9
san francisco,1898,,9
san francisco,1899,,9
san francisco,1900,,10
san francisco,1901,,10
san francisco,1902,,10
san francisco,1903,,10
san francisco,1904,,12
san francisco,1905,,12
san francisco,1906,,13
san francisco,1907,,13
san francisco,1908,,13
san francisco,1909,,14
san francisco,1910,,14
san francisco,1911,,14
san francisco,1912,,14
san francisco,1913,,15
san francisco,1914,,15
san francisco,1915,,15
san francisco,1916,,16
san francisco,1917,,16
san francisco,1918,,16
san francisco,1919,,16
san francisco,1920,,17
san francisco,1921,,19
san francisco,1922,,19
san francisco,1923,,20
san francisco,1924,,21
san francisco,1925,,21
san francisco,1926,,21
san francisco,1927,,23
san francisco,1928,,23
san francisco,1929,,24
san francisco,1930,,25
san francisco,1931,,25
san francisco,1932,,27
san francisco,1933,,27
san francisco,1934,,27
san francisco,1935,,27
san francisco,1936,,28
san francisco,1937,,28
san francisco,1938,,28
san francisco,1939,,28
san francisco,1940,,30
san francisco,1941,,34
san francisco,1942,,35
san francisco,1943,,36
san francisco,1944,,36
san francisco,1945,,42
san francisco,1946,,49
san francisco,1947,,57
san francisco,1948,,59
san francisco,1949,,70
san francisco,1950,,73
san francisco,1951,,76
san francisco,1952,,80
san francisco,1953,,87
san francisco,1954,,95
san francisco,1955,,102
san francisco,1956,,107
san francisco,1957,,113
san francisco,1958,,119
san francisco,1959,,124
san francisco,1960,,124
san francisco,1961,,127
san francisco,1962,,134
san francisco,1963,,139
san francisco,1964,,147
san francisco,1965,,159
san francisco,1966,,170
san francisco,1967,,184
san francisco,1968,,2299
san francisco,1969,,2534
san francisco,1970,,2769
san francisco,1971,,3026
san francisco,1972,,3282
san francisco,1973,,3550
san francisco,1974,,3805
san francisco,1975,,4107
san francisco,1976,,4476
san francisco,1977,,4771
san francisco,1978,,5057
san francisco,1979,,5294
san francisco,1980,,5489
san francisco,1981,,5699
san francisco,1982,,5887
san francisco,1983,,6107
san francisco,1984,,6393
san francisco,1985,,6684
san francisco,1986,,7062
san francisco,1987,,7645
san francisco,1988,,8343
san francisco,1989,,9231
san francisco,1990,,9638
san francisco,1991,,10091
san francisco,1992,,10582
san francisco,1993,,11138
san francisco,2019,,85592
san francisco,2020,,78543
